  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  6Jun26 ??       116:59.81 /sbin/launchd
    0   536     1   0  6Jun26 ??        37:48.14 /usr/libexec/logd
    0   537     1   0  6Jun26 ??         0:00.43 /usr/libexec/smd
    0   538     1   0  6Jun26 ??         9:48.27 /usr/libexec/UserEventAgent (System)
    0   540     1   0  6Jun26 ??        23:04.22 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   541     1   0  6Jun26 ??         0:54.97 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   544     1   0  6Jun26 ??         0:45.64 /usr/sbin/systemstats --daemon
  278   546     1   0  6Jun26 ??         0:03.01 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
  278   547     1   0  6Jun26 ??         0:00.18 /usr/libexec/uarpassetmanagerd
    0   548     1   0  6Jun26 ??         1:47.38 /usr/libexec/configd
    0   549     1   0  6Jun26 ??         0:00.11 endpointsecurityd
    0   550     1   0  6Jun26 ??         4:14.48 /System/Library/CoreServices/powerd.bundle/powerd
    0   551     1   0  6Jun26 ??         0:00.02 /usr/libexec/IOMFB_bics_daemon
    0   553     1   0  6Jun26 ??         0:05.47 /usr/libexec/amfid
    0   555     1   0  6Jun26 ??         0:12.06 /usr/libexec/remoted
    0   557     1   0  6Jun26 ??         0:00.86 /usr/libexec/keybagd -t 15
  200   558     1   0  6Jun26 ??         0:01.98 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  306   559     1   0  6Jun26 ??         1:20.89 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
    0   561     1   0  6Jun26 ??         0:26.63 /usr/libexec/watchdogd
    0   565     1   0  6Jun26 ??        19:21.35 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  240   566     1   0  6Jun26 ??         0:00.90 /System/Library/CoreServices/iconservicesd
    0   567     1   0  6Jun26 ??         0:00.83 /usr/libexec/kernelmanagerd
    0   568     1   0  6Jun26 ??         1:24.79 /usr/libexec/diskarbitrationd
    0   571     1   0  6Jun26 ??         0:46.43 /usr/libexec/coreduetd
    0   572     1   0  6Jun26 ??         0:25.38 /usr/sbin/syslogd
    0   574     1   0  6Jun26 ??         1:36.96 /usr/libexec/thermalmonitord
    0   575     1   0  6Jun26 ??         3:42.52 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
